gen,operations,min,max,mean,std,timestamp
0,initialize,0.1135,0.1135,0.1135,0.0,2018-09-11 17:20:31.766191
1,add_convolution,0.1026,0.6177,0.30098,0.23269231530069917,2018-09-11 17:23:09.479507
2,do_nothing,0.1032,0.6177,0.3966700000000001,0.235489295085785,2018-09-11 17:25:22.972595
3,alter_channel_number,0.1135,0.711,0.4141500000000001,0.2500027289851052,2018-09-11 17:28:19.023653
4,add_convolution,0.1135,0.7453,0.4871500000000001,0.24988380999976753,2018-09-11 17:31:40.518940
5,add_convolution,0.1135,0.9595,0.74722,0.23753323472726923,2018-09-11 17:40:25.989830
6,do_nothing,0.633,0.9595,0.8760999999999999,0.10174089639864672,2018-09-11 17:48:38.089902
7,alter_stride,0.6001,0.9769,0.8729099999999999,0.13821523396500227,2018-09-11 17:58:04.101675
8,do_nothing,0.6992,0.9769,0.9026900000000001,0.0985710145022348,2018-09-11 18:06:38.597810
9,alter_channel_number,0.8411,0.9797,0.94945,0.041332366252127446,2018-09-11 18:16:28.412879
10,alter_filter_size,0.6845,0.9835,0.90807,0.10916659791346361,2018-09-11 18:26:28.894441
11,do_nothing,0.6966,0.9835,0.9179700000000001,0.0999951203809459,2018-09-11 18:37:03.790203
12,alter_filter_size,0.6434,0.9857,0.8953099999999999,0.12634462750746528,2018-09-11 18:50:42.994244
13,do_nothing,0.1135,0.9857,0.74498,0.3259205203726825,2018-09-11 19:05:21.734053
14,do_nothing,0.1135,0.9857,0.77885,0.3385615667792196,2018-09-11 19:17:21.641965
15,alter_filter_size,0.1135,0.9915,0.8604900000000001,0.2601710493117942,2018-09-11 19:31:34.946691
16,do_nothing,0.1256,0.9915,0.73,0.3913537657925372,2018-09-11 19:49:29.301152
17,do_nothing,0.1032,0.9915,0.70704,0.391362047725632,2018-09-11 20:04:06.807150
18,alter_channel_number,0.917,0.9927,0.9736,0.027673705931808037,2018-09-11 20:25:02.864494
19,do_nothing,0.0974,0.9927,0.7896499999999999,0.34299397735237325,2018-09-11 20:43:39.960319
20,do_nothing,0.1351,0.9927,0.7278499999999999,0.38298659571844035,2018-09-11 21:04:48.593929
21,do_nothing,0.1135,0.9927,0.8878400000000001,0.25915420197249317,2018-09-11 21:29:14.889915
22,do_nothing,0.1534,0.9927,0.8733000000000001,0.24655610314895868,2018-09-11 21:56:32.486360
23,alter_channel_number,0.101,0.9929,0.72763,0.3915235268792923,2018-09-11 22:17:51.592321
24,do_nothing,0.1009,0.9929,0.7918399999999999,0.3417022627961369,2018-09-11 22:43:01.988676
25,do_nothing,0.1135,0.9929,0.8966899999999999,0.2613105143311307,2018-09-11 23:08:31.949031
26,do_nothing,0.1535,0.9929,0.87905,0.25074188421562105,2018-09-11 23:39:14.823085
27,alter_stride,0.1485,0.9931,0.7145900000000001,0.37287979416964917,2018-09-12 00:09:25.688157
28,do_nothing,0.1436,0.9931,0.80844,0.3323833184743182,2018-09-12 00:42:03.195722
29,do_nothing,0.1481,0.9931,0.90485,0.2523431284976861,2018-09-12 01:12:38.531204
30,do_nothing,0.1135,0.9931,0.8101800000000001,0.3485005991386528,2018-09-12 01:45:14.025935
